listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Home in Regina,Montague View: Cozy & Bright +Full Kitchen by Park,4 beds,www.airbnb.ca/rooms/683575231916089265?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692669746_33htZddVG50VBWXu&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,150,751,2023-09-04 - 2023-09-9,4.94,16,2023-09-04,2023-09-09,0,0,0,0,0
Guest suite in Harbour Landing,Beautiful 1 BR Suite - Executive or Couple,1 queen bed,www.airbnb.ca/rooms/46779590?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692669746_M6MASTKaElWMsOw0&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,95,476,2023-09-24 - 2023-09-29,4.98,269,2023-09-24,2023-09-29,0,0,0,0,0
Home in Regina,ENTIRE NEW-BUILD SPACIOUS MAIN FLOORS EAST REGINA!,3 beds,www.airbnb.ca/rooms/567981434051653668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692669746_sZorJlXIiWe04hJN&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,187,934,2023-09-10 - 2023-09-15,4.84,116,2023-09-10,2023-09-15,0,0,0,0,0
Home in Regina,Spacious 2 Bdm close to Airport,2 beds,www.airbnb.ca/rooms/800233182587712252?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-13&source_impression_id=p3_1692669746_F25RrvccWkFgjNYP&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,130,130,2023-09-06 - 2023-09-13,4.95,20,2023-09-06,2023-09-13,0,0,0,0,0
Room in Regina,~7Minutes to Airport: Elegant & Relaxing Room,Stay with Julie,www.airbnb.ca/rooms/19469234?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=453884026&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692669746_mjxBxFHz3yUQdYqi&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,51,258,2023-09-09 - 2023-09-14,4.92,277,2023-09-09,2023-09-14,0,0,0,0,0
Home in Regina,Modernist Inspired  House in the heart of Downtown,3 beds,www.airbnb.ca/rooms/12262804?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692669746_UywU2Xnyf1Jh6SoN&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,192,958,2023-10-09 - 2023-10-14,4.99,340,2023-10-09,2023-10-14,0,0,0,0,0
Condo in Regina,"Sunny, Cozy Condo – walking distance to downtown",1 queen bed,www.airbnb.ca/rooms/52971117?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-08&check_out=2023-10-13&source_impression_id=p3_1692669746_p9cQN9nOqSoflcSz&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,95,475,2023-10-08 - 2023-10-13,4.94,112,2023-10-08,2023-10-13,0,0,0,0,0
Home in Regina,Vintage 3-Bedroom Catherdral House,4 beds,www.airbnb.ca/rooms/53948435?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692669746_sjVahQQkpk2ESvif&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,308,"1,539",2023-09-18 - 2023-09-23,5.0,72,2023-09-18,2023-09-23,0,0,0,0,0
Guest suite in Regina,NW Home Away from Home Basement Reprieve,1 queen bed,www.airbnb.ca/rooms/51455380?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692669746_Fv0AxuWFXlRWz6kt&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,129,644,2023-09-01 - 2023-09-6,5.0,26,2023-09-01,2023-09-06,0,0,0,0,0
Home in Regina,Entire home. Peaceful and cozy place,3 queen beds,www.airbnb.ca/rooms/47584662?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-16&check_out=2023-09-23&source_impression_id=p3_1692669746_mgo4t9LPSQx%2F1m85&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,139,975,2023-09-16 - 2023-09-23,4.91,131,2023-09-16,2023-09-23,0,0,0,0,0
Bungalow in Regina,"Modern, spacious w/ entertainment area",5 beds,www.airbnb.ca/rooms/762481103383490140?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692669746_mzLVpUn2CEA79nVH&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,183,914,2023-09-10 - 2023-09-15,4.96,57,2023-09-10,2023-09-15,0,0,0,0,0
Guest suite in Regina,Spacious & Comfortable 1 Bedroom Suite,2 beds,www.airbnb.ca/rooms/46009635?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692669746_ozAA8UWJGNZ2WNCR&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,122,122,2023-09-01 - 2023-09-6,4.98,65,2023-09-01,2023-09-06,0,0,0,0,0
Bungalow in Regina,ENTIRE house for yourselves - NO basement sharing!,4 beds,www.airbnb.ca/rooms/50794461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692669746_XST7rR8WKiGpeujl&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,226,226,2023-09-03 - 2023-09-8,4.85,168,2023-09-03,2023-09-08,0,0,0,0,0
Guest suite in Regina,Modern & Stylish but Cozy & Quiet - Private Suite,1 queen bed,www.airbnb.ca/rooms/21185131?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-14&source_impression_id=p3_1692669746_%2BnI5cokOi%2B5F%2FCi4&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,61,368,2023-09-08 - 2023-09-14,4.83,345,2023-09-08,2023-09-14,0,0,0,0,0
Home in Regina,New Built Cozy Basement Suite,1 bed,www.airbnb.ca/rooms/761782587023413658?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692669746_GUx8jNhH%2FbkOPxPg&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,97,487,2023-09-01 - 2023-09-6,4.79,24,2023-09-01,2023-09-06,0,0,0,0,0
Home in Harbour Landing,Peace and Comfort - Two Bedroom home with Office,2 beds,www.airbnb.ca/rooms/652981471734671347?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1692669746_E0i1i0C2ClJHfJQk&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,163,163,2023-09-04 - 2023-09-10,4.9,29,2023-09-04,2023-09-10,0,0,0,0,0
Guest suite in Harbour Landing,7mins Airport | Netflix | 200Mbps | Parking | W/D,4 beds,www.airbnb.ca/rooms/46034534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692669746_b2QP9vroBChv3BtI&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,165,165,2023-09-01 - 2023-09-6,4.97,91,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Regina,Chic Guest Suite Across From Park,2 beds,www.airbnb.ca/rooms/1089749?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-20&source_impression_id=p3_1692669746_d9MV%2BltTbHoCkNOJ&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,116,582,2023-09-15 - 2023-09-20,4.93,497,2023-09-15,2023-09-20,0,0,0,0,0
Home in Regina,Montague View: Cozy & Bright +Full Kitchen by Park,4 beds,www.airbnb.ca/rooms/683575231916089265?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692669746_33htZddVG50VBWXu&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,150,751,2023-09-04 - 2023-09-9,4.94,16,2023-09-04,2023-09-09,0,0,0,0,0
Guest suite in Harbour Landing,Beautiful 1 BR Suite - Executive or Couple,1 queen bed,www.airbnb.ca/rooms/46779590?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1692669746_M6MASTKaElWMsOw0&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,95,476,2023-09-24 - 2023-09-29,4.98,269,2023-09-24,2023-09-29,0,0,0,0,0
Home in Regina,ENTIRE NEW-BUILD SPACIOUS MAIN FLOORS EAST REGINA!,3 beds,www.airbnb.ca/rooms/567981434051653668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692669746_sZorJlXIiWe04hJN&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,187,934,2023-09-10 - 2023-09-15,4.84,116,2023-09-10,2023-09-15,0,0,0,0,0
Home in Regina,Spacious 2 Bdm close to Airport,2 beds,www.airbnb.ca/rooms/800233182587712252?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-13&source_impression_id=p3_1692669746_F25RrvccWkFgjNYP&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,130,130,2023-09-06 - 2023-09-13,4.95,20,2023-09-06,2023-09-13,0,0,0,0,0
Room in Regina,~7Minutes to Airport: Elegant & Relaxing Room,Stay with Julie,www.airbnb.ca/rooms/19469234?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=453884026&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1692669746_mjxBxFHz3yUQdYqi&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,51,258,2023-09-09 - 2023-09-14,4.92,277,2023-09-09,2023-09-14,0,0,0,0,0
Home in Regina,Modernist Inspired  House in the heart of Downtown,3 beds,www.airbnb.ca/rooms/12262804?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692669746_UywU2Xnyf1Jh6SoN&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,192,958,2023-10-09 - 2023-10-14,4.99,340,2023-10-09,2023-10-14,0,0,0,0,0
Condo in Regina,"Sunny, Cozy Condo – walking distance to downtown",1 queen bed,www.airbnb.ca/rooms/52971117?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-08&check_out=2023-10-13&source_impression_id=p3_1692669746_p9cQN9nOqSoflcSz&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,95,475,2023-10-08 - 2023-10-13,4.94,112,2023-10-08,2023-10-13,0,0,0,0,0
Home in Regina,Vintage 3-Bedroom Catherdral House,4 beds,www.airbnb.ca/rooms/53948435?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692669746_sjVahQQkpk2ESvif&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,308,"1,539",2023-09-18 - 2023-09-23,5.0,72,2023-09-18,2023-09-23,0,0,0,0,0
Guest suite in Regina,NW Home Away from Home Basement Reprieve,1 queen bed,www.airbnb.ca/rooms/51455380?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692669746_Fv0AxuWFXlRWz6kt&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,129,644,2023-09-01 - 2023-09-6,5.0,26,2023-09-01,2023-09-06,0,0,0,0,0
Home in Regina,Entire home. Peaceful and cozy place,3 queen beds,www.airbnb.ca/rooms/47584662?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-16&check_out=2023-09-23&source_impression_id=p3_1692669746_mgo4t9LPSQx%2F1m85&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,139,975,2023-09-16 - 2023-09-23,4.91,131,2023-09-16,2023-09-23,0,0,0,0,0
Bungalow in Regina,"Modern, spacious w/ entertainment area",5 beds,www.airbnb.ca/rooms/762481103383490140?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692669746_mzLVpUn2CEA79nVH&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,183,914,2023-09-10 - 2023-09-15,4.96,57,2023-09-10,2023-09-15,0,0,0,0,0
Guest suite in Regina,Spacious & Comfortable 1 Bedroom Suite,2 beds,www.airbnb.ca/rooms/46009635?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692669746_ozAA8UWJGNZ2WNCR&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,122,122,2023-09-01 - 2023-09-6,4.98,65,2023-09-01,2023-09-06,0,0,0,0,0
Bungalow in Regina,ENTIRE house for yourselves - NO basement sharing!,4 beds,www.airbnb.ca/rooms/50794461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692669746_XST7rR8WKiGpeujl&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,226,226,2023-09-03 - 2023-09-8,4.85,168,2023-09-03,2023-09-08,0,0,0,0,0
Guest suite in Regina,Modern & Stylish but Cozy & Quiet - Private Suite,1 queen bed,www.airbnb.ca/rooms/21185131?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-14&source_impression_id=p3_1692669746_%2BnI5cokOi%2B5F%2FCi4&previous_page_section_name=1000&federated_search_id=91f0e0cb-2168-4acd-871c-bcf35e27e285,61,368,2023-09-08 - 2023-09-14,4.83,345,2023-09-08,2023-09-14,0,0,0,0,0
