listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Apartment in Saint John,Suite w/ elevator to a brewery!,2 beds,www.airbnb.ca/rooms/632383327713384597?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-12&check_out=2023-10-17&source_impression_id=p3_1692672870_7RI0aas0z5GXEld9&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,206,"1,030",2023-10-12 - 2023-10-17,4.97,78,2023-10-12,2023-10-17,0,0,0,0,0
Apartment in Saint John,Beautiful historic uptown apartment,1 bed,www.airbnb.ca/rooms/743629039723422626?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-07&check_out=2023-09-14&source_impression_id=p3_1692672870_zrdlmqgFNtQGzztH&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,208,208,2023-09-07 - 2023-09-14,4.88,83,2023-09-07,2023-09-14,0,0,0,0,0
Condo in Saint John,Cozy one bedroom in the heart of the city.,1 bed,www.airbnb.ca/rooms/740476513058079064?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692672870_zfZy%2BFIynQ5A3ezU&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,122,611,2023-09-11 - 2023-09-16,4.91,92,2023-09-11,2023-09-16,0,0,0,0,0
Guesthouse in Saint John,Adorable 1-bedroom guesthouse with free parking,1 bed,www.airbnb.ca/rooms/52585115?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692672870_RziS51WYEJdKFCe1&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,200,200,2023-09-01 - 2023-09-6,4.91,148,2023-09-01,2023-09-06,0,0,0,0,0
Apartment in Saint John,Cozy Studio In the Heart Uptown Saint John! Parkin,1 queen bed,www.airbnb.ca/rooms/41294983?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692672870_9zEU3QFVkWyrROje&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,95,95,2023-09-01 - 2023-09-8,4.54,72,2023-09-01,2023-09-08,0,0,0,0,0
Guesthouse in Saint John,Breathtaking view - 1 Bedroom apartment,2 beds,www.airbnb.ca/rooms/16945927?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-27&source_impression_id=p3_1692672870_VbfLEFrLguVxdPnO&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,133,665,2023-09-22 - 2023-09-27,5.0,94,2023-09-22,2023-09-27,0,0,0,0,0
Apartment in Saint John,Charming historic uptown unit,1 bed,www.airbnb.ca/rooms/775180301620761459?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692672870_sRn9GewzFInLYulX&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,196,196,2023-09-10 - 2023-09-15,4.93,85,2023-09-10,2023-09-15,0,0,0,0,0
Apartment in Saint John,Bayshore Get-Away,1 queen bed,www.airbnb.ca/rooms/45831579?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1692672870_eTF%2FaZVcfB6Fk8KI&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,169,847,2023-09-13 - 2023-09-18,5.0,38,2023-09-13,2023-09-18,0,0,0,0,0
Apartment in Saint John,Charming Millidgeville One Bedroom Apartment.,2 beds,www.airbnb.ca/rooms/32806180?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692672870_%2Bwotiy%2BCJU2aSzxg&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,132,659,2023-10-09 - 2023-10-14,4.97,324,2023-10-09,2023-10-14,0,0,0,0,0
Apartment in Saint John,Victorian Charming Home,3 beds,www.airbnb.ca/rooms/16566239?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692672870_7wJVLXr2eBk%2FM0Gu&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,109,109,2023-10-15 - 2023-10-20,4.82,375,2023-10-15,2023-10-20,0,0,0,0,0
Tiny homes in Saint John,Private Tiny House in the Woods,2 beds,www.airbnb.ca/rooms/663758337204319528?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692672870_5Qr8%2FEsgj0b%2FnTRv&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,207,"1,033",2023-09-23 - 2023-09-28,4.99,88,2023-09-23,2023-09-28,0,0,0,0,0
Home in Saint John,Chad's Hideaway nearby City Centre/free parking,1 queen bed,www.airbnb.ca/rooms/632041548567246093?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-07&check_out=2023-10-12&source_impression_id=p3_1692672870_nwaM1nwi335KaTQq&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,99,493,2023-10-07 - 2023-10-12,4.97,195,2023-10-07,2023-10-12,0,0,0,0,0
Home in Saint John,Edgewater,2 beds,www.airbnb.ca/rooms/648611896667414301?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-14&check_out=2023-09-19&source_impression_id=p3_1692672870_O4NNWHfwtH%2FCyqtV&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,403,"2,014",2023-09-14 - 2023-09-19,4.9,59,2023-09-14,2023-09-19,0,0,0,0,0
Apartment in Saint John,"Central to EVERYTHING, 130 year Old Historic Charm",2 beds,www.airbnb.ca/rooms/38624288?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692672870_ogCQr5aW4X%2BXfwrZ&previous_page_section_name=1000&federated_search_id=f92d1ec6-a971-4b2d-9d41-589eab829471,155,775,2023-10-22 - 2023-10-27,4.9,272,2023-10-22,2023-10-27,0,0,0,0,0
