listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Apartment in Yellowknife,See Aurora and lake from EVERY room! (2bd 2bth),2 queen beds,www.airbnb.ca/rooms/36638245?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1692676340_n1lC0GlooYeqa3u5&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,364,"1,820",2023-09-02 - 2023-09-7,4.96,71,2023-09-02,2023-09-07,0,0,0,0,0
Home in Yellowknife,Scandinavian Retreat on the Lake,3 beds,www.airbnb.ca/rooms/10256685?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676340_iOXMMrf6A%2FGbdRZD&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,437,"2,186",2023-09-01 - 2023-09-6,5.0,9,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Yellowknife,Waterfront Nordic Getaway - Licensed B&B,2 beds,www.airbnb.ca/rooms/38981535?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_EV6AmJfANm0EjNu3&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,309,"1,546",2023-09-01 - 2023-09-6,4.99,90,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Yellowknife,Rockside Suite - Private suite on Niven Lake,2 beds,www.airbnb.ca/rooms/723186752359818729?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_pifWJgKAJ2%2BbPJMP&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,173,863,2023-09-01 - 2023-09-6,4.94,33,2023-09-01,2023-09-06,0,0,0,0,0
Tiny homes in Yellowknife,Newly Built Arctic Tiny House,1 bed,www.airbnb.ca/rooms/818348490422331947?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_kQ2Vy083mk1kOfYE&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,106,532,2023-09-01 - 2023-09-6,4.43,7,2023-09-01,2023-09-06,0,0,0,0,0
Apartment in Yellowknife,The Good Place - Private Apartment in Niven Area,2 beds,www.airbnb.ca/rooms/37420008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692676341_mGsfPrviz8nCMpV2&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,156,780,2023-10-22 - 2023-10-27,4.96,134,2023-10-22,2023-10-27,0,0,0,0,0
Home in Yellowknife,Niven Lake Apartment. Discounted Extended Stays.,2 beds,www.airbnb.ca/rooms/51074006?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_VfQjVeIOK6%2BzabIt&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,189,947,2023-09-01 - 2023-09-6,4.95,42,2023-09-01,2023-09-06,0,0,0,0,0
Home in Yellowknife,Greenhaven Guesthouse - Sleeps 6- Open during Evac,4 beds,www.airbnb.ca/rooms/17071515?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_jTK%2BnvgHmCPXZ%2Fgu&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,378,"1,893",2023-09-01 - 2023-09-6,4.93,72,2023-09-01,2023-09-06,0,0,0,0,0
Home in Yellowknife,Docked Houseboat (rare waterfront in popular area),4 beds,www.airbnb.ca/rooms/39005044?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-06&check_out=2023-10-11&source_impression_id=p3_1692676341_B48HNHdXCqr0BHry&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,431,"2,157",2023-10-06 - 2023-10-11,4.99,74,2023-10-06,2023-10-11,0,0,0,0,0
Home in Yellowknife,Northern Casita,3 beds,www.airbnb.ca/rooms/38679453?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692676341_uO7zqL31cZNzlxC3&previous_page_section_name=1000&federated_search_id=e2f686f2-2659-45e6-9394-1de7512ed2d9,295,"1,477",2023-09-01 - 2023-09-6,5.0,80,2023-09-01,2023-09-06,0,0,0,0,0
