listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Bungalow in Brandon,Urban Chic Guest Retreat- 1100sqft 3Bdr,4 beds,4.94 (229),www.airbnb.ca/rooms/30233991?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1692675408_zU5kfiMaRw8m3jwE&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 2 – 7,158,789
Apartment in Brandon,Luxury Loft Apartment,1 queen bed,5.0 (8),www.airbnb.ca/rooms/690619739227453944?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692675408_WnGKIebqGfaw6%2B3e&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 1 – 8,166,166
Apartment in Brandon,#3  1202 8th Street - 2 bedroom condo,2 beds,4.87 (103),www.airbnb.ca/rooms/22172898?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692675408_pE4Aorjmwf6UKOO9&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 10 – 15,174,174
Home in Brandon,Cheerful  home for people and pets.,5 beds,4.9 (63),www.airbnb.ca/rooms/579185637011502902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1692675408_iBTjMeqzM0mP5aBq&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 17 – 22,254,"1,271"
Guest suite in Brandon,Cozy 1-bedroom suite.  Near hospital and A.C.C.,1 bed,4.8 (30),www.airbnb.ca/rooms/742946046678651970?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675408_pcjopCx0jdTuYIC6&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 1 – 6,90,451
Home in Brandon,Cozy Cottage style home with loft!,1 bed,4.88 (60),www.airbnb.ca/rooms/751579978432552866?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1692675408_UdZ6A15iIgyjgUjh&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 18 – 23,165,826
Home in Brandon,cozy downstairs suite,1 queen bed,4.84 (74),www.airbnb.ca/rooms/45724510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1692675408_XxoSepopEDOI0sTn&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 6 – 11,77,385
Home in Brandon,Peaceful home for people & pets,4 beds,4.78 (23),www.airbnb.ca/rooms/782134211311875029?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675408_Yzh25FfXc38UTCTS&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 1 – 6,343,"1,716"
Home in Brandon,Elegant Spacious family home.,2 beds,New,www.airbnb.ca/rooms/957816483568984318?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675408_6J1qLywfN3N9czM3&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 1 – 6,251,251
Place to stay in Brandon,Homey Private Bedroom,1 bed,New,www.airbnb.ca/rooms/962275297724307201?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692675408_0iSRr%2BBXlRyaBcVn&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 1 – 6,58,58
Guest suite in Brandon,The sweet tooth lower level suite.,2 beds,New,www.airbnb.ca/rooms/569817605468899519?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-26&check_out=2023-10-03&source_impression_id=p3_1692675408_bkQHBU0O2ezn9lW9&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Sep. 26 – Oct. 3,120,120
Condo in Brandon,Wheat City Retreat,3 queen beds,4.9 (79),www.airbnb.ca/rooms/37123437?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1692675408_vLVjo3n5Wn7TqAz%2F&previous_page_section_name=1000&federated_search_id=d839a73a-445a-4314-b577-57af2debebf0,Oct. 20 – 25,191,953
