listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Room in Toronto,Spacious Room/Downtown/Vegan Friendly,Stay with Patricia,4.95 (193),www.airbnb.ca/rooms/24307196?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=477652478&check_in=2023-11-06&check_out=2023-11-12&source_impression_id=p3_1692667793_lIjSGgFzJcg%2FCxmr&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Nov. 6 – 12,100,598
Place to stay in Toronto,Private Bedroom in shared Space,1 bed,New,www.airbnb.ca/rooms/915474525293184912?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-24&source_impression_id=p3_1692667793_D43aDJljNnhbzs02&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Sep. 18 – 24,105,632
Guest suite in Toronto,Spacious and bright basement studio in Roncy,1 double bed,4.87 (117),www.airbnb.ca/rooms/21382275?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-03&source_impression_id=p3_1692667793_9GKYQYHJ%2FOU7%2BhB5&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Jan. 28 – Feb. 3,100,600
Cabin in Mono,Evergreen Holler Forest Retreat,2 beds,5.0 (13),www.airbnb.ca/rooms/873839266028721502?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692667793_W0h3PTxgiRZL7PEn&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Sep. 10 – 15,218,218
Cabin in Erin,Erin Cabin Getaway and Bunkie,2 beds,4.93 (180),www.airbnb.ca/rooms/647970806267552103?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1692667793_ruv%2BwHQZc5GsAetV&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Sep. 10 – 15,403,403
Room in Toronto,centrally located Riverdale charm,Stay with Ann,4.89 (215),www.airbnb.ca/rooms/14585169?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=198863485&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1692667793_rfhBI1km3m6D8Ac8&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Jan. 1 – 6,100,499
Apartment in Toronto,Good Looking Condo Across from CN TOWER & MTCC,2 beds,New,www.airbnb.ca/rooms/958922036248943173?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692667793_pIcy1727HAcriboJ&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Sep. 3 – 8,350,"1,750"
Room in Toronto,"Private bedroom close to bus, subway and UP Exp",Stay with Dave,4.88 (193),www.airbnb.ca/rooms/19531218?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=332941322&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1692667793_%2BQVQx%2FooeOfGhLoX&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Oct. 19 – 24,62,312
Room in Toronto,Cozy suite in the heart of Toronto (no kitchen),Stay with Ameen,4.96 (137),www.airbnb.ca/rooms/53675348?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1577881857&check_in=2023-10-27&check_out=2023-11-01&source_impression_id=p3_1692667793_9J4fl1DQ%2Be4rfnjm&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Oct. 27 – Nov. 1,154,770
Place to stay in Toronto,Cozy Retreat not shared main floor 2nd picture,1 double bed,4.93 (414),www.airbnb.ca/rooms/38295203?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-30&check_out=2023-11-04&source_impression_id=p3_1692667793_0Azv643y%2F%2FgI229M&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Oct. 30 – Nov. 4,92,459
Farm stay in Uxbridge,"Private Loft w Sauna, Fireplace, Wi-Fi & Projector",1 bed,4.96 (225),www.airbnb.ca/rooms/33138471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692667793_dmghve9j7uszjsXC&previous_page_section_name=1000&federated_search_id=d01bda9a-a87b-4f84-a9ea-337b49fc05e7,Sep. 4 – 9,272,"1,358"
