listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Cabin in Whitehorse,Entire Cabin at Lake Laberge Whitehorse,2 beds,5.0 (27),www.airbnb.ca/rooms/796457155545590316?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1692677057_bLU95DUhiz0PyK75&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Oct. 15 – 20,226,"1,132"
Guesthouse in Whitehorse,Timber-Tops House. Home away from home.,1 queen bed,5.0 (154),www.airbnb.ca/rooms/25406872?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1692677057_7vBh%2BiXgPDzgaLae&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 5 – 10,165,826
Guest suite in Whitehorse,Entire Guest suite  & Vacation home in Whitehorse,1 queen bed,4.78 (88),www.airbnb.ca/rooms/756519702346064250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-29&source_impression_id=p3_1692677057_70OjuxCwfCPRMSKy&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 23 – 29,105,630
Guesthouse in Whitehorse,Marsh lake base camp,1 bed,4.85 (117),www.airbnb.ca/rooms/49269867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1692677057_Q7jAKgq3H39%2BgR7l&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 5 – 10,69,343
Guest suite in Whitehorse,Mike’s Place,1 king bed,4.9 (312),www.airbnb.ca/rooms/33986233?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-29&check_out=2023-10-04&source_impression_id=p3_1692677057_J%2Fz5%2F%2BaK%2FtP%2BFeqB&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 29 – Oct. 4,119,596
Apartment in Whitehorse,Downtown Essentials,1 bed,4.88 (8),www.airbnb.ca/rooms/895997489499447111?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&source_impression_id=p3_1692677057_FUTJp5ubXxUVRt6B&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 23 – 28,102,508
Cabin in Yukon Territories,Midnight Sun Cabin,1 queen bed,4.91 (22),www.airbnb.ca/rooms/22733530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-06&source_impression_id=p3_1692677057_jqZsDkuzo8qmJPCU&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Oct. 1 – 6,116,582
Condo in Whitehorse,Entire Condo in Downtown Whitehorse,1 bed,4.9 (30),www.airbnb.ca/rooms/52686633?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-16&check_out=2023-09-21&source_impression_id=p3_1692677057_whMdTofZPr3OrFyt&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 16 – 21,218,"1,090"
Home in Whitehorse,"Beautiful, new, full 2-bdrm, designer luxury",2 beds,5.0 (6),www.airbnb.ca/rooms/921904724363246990?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692677057_xN%2FfenfdMSda5Mra&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 1 – 8,302,302
Cottage in Whitehorse,The Wood Shed,2 beds,4.95 (201),www.airbnb.ca/rooms/27810524?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1692677057_t04juxn2PRBFjapj&previous_page_section_name=1000&federated_search_id=7ee5c411-8f41-48ab-b5d9-b357016fb550,Sep. 25 – 30,184,184
